id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch
5705761,14591076,3494235,201495051,200903397,10,0
5846547,12207883,4062707,204749066,204734045,317,0
5908078,15148766,4029478,206019640,186030766,54,0
6128043,15859696,4052826,213750289,213460838,1662,0
6263451,10780287,3621425,217521352,213341985,121,0
26662441,69987583,3378177,740563281,740559741,1,0
38813331,96801580,3335437,998613559,688059129,89,0
11819544,31333579,3785263,378429738,371675814,348,0
6822776,15797812,3961663,236208174,227066713,39,0
51297283,116753927,3443054,1230868617,1225303377,22,0
44627973,107906015,4001325,1112457658,305271243,5,0
59605158,131571917,3335056,1354345464,250230320,2,0
17809059,37978651,3623166,530703355,517729949,43,0
13020338,33473790,3937397,406196440,393617717,327,0
23280346,61913844,3529329,666423670,656745877,56,0
23388487,62189811,3609299,668733431,615396234,87,0
5661686,14493324,3261812,199961070,199795274,29,0
26428657,68613772,3485811,735468972,734122222,33,0
6378401,16642370,3550265,221329511,86997194,10,0
11507210,30787303,3405146,371139951,319672456,31,0
26614360,69869018,3836506,739534344,739396892,40,0
26864535,70490767,4056992,745155525,720878903,131,0
16649904,44516623,3920392,502550980,430628094,7,0
16698745,44616785,3879032,503248018,502908826,52,0
11884115,31468049,3856749,379933311,375445670,24,0
12264640,32118006,3949513,388660945,312116130,24,0
6952646,9614227,3757704,240450096,240031447,148,0
33116670,84629631,3455406,879704341,879465264,76,0
17182224,46083913,3643605,515519921,515489327,6,0
28737052,74916463,3942253,785259464,261954754,3,0
5710588,14645105,3446959,201643470,194899779,50,0
5891999,15076908,3666998,205392655,198956965,25,0
15973493,39901273,3388024,486563370,485996181,181,0
16129488,42986833,4066370,488255384,408829453,128,0
38120988,94448978,3522741,982648847,974953630,8,0
6128432,11793529,3744310,213759944,213409642,97,0
11617065,30965321,3496709,373519290,372607035,53,0
26498955,69568303,3487668,736866315,703449478,109,0
12175271,31967552,3900442,386740399,344273113,43,0
16766966,44965502,3569675,505801450,486535535,327,0
17245627,46251894,3716658,516886597,296686615,6,0
22781878,60755066,4039094,655417523,575103880,62,0
33511444,49887715,3666998,887487241,878648879,76,0
17318505,44981208,3476271,518466417,506028954,10,0
17370601,35549173,3744310,519794664,504621776,147,0
13231395,30403636,3494449,411249396,103428225,3,0
60205557,132428099,3590388,1363069880,1341200957,237,0
49769872,116789654,3986870,1203441864,1195206244,25,0
5617575,14277113,3450021,197487210,192252723,2,0
5800786,14953988,3513049,204399679,177239770,7,0
6034072,15615204,3388024,211140266,209727971,66,0
25920078,68145651,3726988,724047432,715278671,10,0
26352317,69226645,3932563,733897920,457699801,15,0
50495116,118064515,3502361,1215995731,996230385,5,0
43958419,42793736,3257571,1099617554,1098403437,600,0
27676755,60969461,3773279,657671114,658110543,31,0
33194215,84812893,3723798,881203702,687590979,72,0
17039754,16866385,3447488,512160097,179053037,5,0
7459024,10656530,3374253,254869117,237063856,72,0
51976152,120477808,3417069,1243267018,1158663135,187,0
21074712,56407900,3815329,612546965,527685138,19,0
5627647,14302552,3503873,197794281,38806905,3,0
6033535,15614212,3412911,211129308,209848478,30,0
25928220,68204634,3938909,724230989,720669196,1737,0
26161312,68760086,3759111,729687748,724360500,53,0
15888813,41434616,3754204,482658233,482485471,11,0
21322790,9629582,4098196,617196586,617196570,59,0
6295930,11813417,3986315,218492605,188678966,8,0
6434007,16802679,4004352,223181349,201833580,2,0
16548697,44253011,3646378,500136850,488916753,570,0
16623027,41434616,3754204,501960994,499452452,12,0
11898745,31490306,3725885,380225666,372231951,2,0
12127533,31885113,3493391,385613017,385613020,9,0
16948722,39450357,3237241,509961305,509948236,101,0
39516726,96873452,3832348,1013749146,1012294785,240,0
39637561,98608024,3969369,1016433211,1004559375,36,0
12584883,32696119,3282182,396054383,394290426,12,0
7169260,9606293,3664514,246658538,199065091,3,0
7278065,9708326,3989304,249752546,249025125,7,0
52144742,94448978,3522741,1245861177,1159777097,18,0
8139923,11308858,3744310,273677419,268895403,116,0
46049928,110521620,3656541,1139263967,1026276158,6,0
37584333,94345273,3947473,971171801,927884428,94,0
5601573,14226095,4142580,196831969,137571902,15,0
6006403,15525033,3367400,210307868,210225101,281,0
26355475,69146662,3353520,733956822,733738083,7,0
15913861,42229483,3309141,483576230,483576222,125,0
15945606,15032293,3569675,485455451,484352063,319,0
15964742,42622324,3918096,486198612,474503740,60,0
16047223,39744288,3932542,487542077,487553663,36,0
31863662,54730067,3482215,851515789,850409290,179,0
21506726,56490571,3815329,620783621,620783598,21,0
21767567,56194115,3803810,632519079,629087479,376,0
6356890,16521395,4111811,220225863,219815341,10,0
26581475,69788368,3534284,738841425,702479454,53,0
16507353,12578372,4016363,499319821,499306989,50,0
16543568,11801183,3928909,500029677,402963308,61,0
16595777,41549464,3506962,501161618,500634951,83,0
38923901,97117046,3596273,1001067523,969096321,94,0
11997432,31666182,3468479,382594123,382260874,163,0
39309660,97935390,3782525,1009077860,677776891,61,0
12343074,32262662,3803810,390475621,387752378,224,0
59552674,35815133,3671191,1353592147,1353592144,685,0
17421506,46730970,3937397,520788408,507617671,357,0
23350980,62100684,3695476,667972157,478683416,4,0
28445477,74194778,4062707,778916372,777384339,576,0
5595090,14188236,4062707,196181962,195679301,300,0
5950317,14770189,3303347,208673790,208576572,50,0
15796093,33924247,3570105,419536615,345515025,13,0
6416933,15615204,3388024,222471548,222471546,76,0
6421482,10085751,3253935,222871365,222774315,5,0
11346566,30380849,3570907,367158148,367037950,11,0
11629510,30983215,3456259,373774022,348915164,11,0
27024284,70865822,4045665,748573192,64794271,1,0
16689678,12578372,4016363,502889923,501548473,53,0
11807749,31307578,3457655,378105903,376937824,27,0
6834020,9629582,4098196,236494954,234172235,10,0
51054714,95223710,3755893,1226766988,1105313234,7,0
17160726,42770866,3623166,514923631,513905773,42,0
17180662,45593343,3827492,515483377,515201947,16,0
12742072,32989553,4126832,399870168,377347441,2,0
17436002,46440563,3829237,521103104,331741096,8,0
34483292,87600034,3459120,906300685,905346887,362,0
13117229,33298789,3809205,405147111,142774101,34,0
59888201,131984873,3335650,1358582901,1284548491,88,0
21185933,12601518,3399131,,520580322,10,0
5693043,14612102,3734400,201095455,172452881,46,0
5794658,14931931,3960886,204201252,203523546,12,0
6029700,15602999,4035155,211027390,202597526,6,0
26322974,68641553,3611689,733286347,733182457,26,0
38183427,95575160,3848664,984282986,788070220,3,0
6095561,15614778,3828799,212776559,212512412,92,0
6395570,16689174,3847575,222009327,222007417,20,0
6451372,15960852,4050797,223521109,219982756,446,0
26770762,55864987,3669648,742913412,716888629,61,0
16291289,9660758,3883067,494292833,491790100,75,0
57421176,128236994,4056467,1323380657,829760822,5,0
44026935,44761337,4072041,1100894647,1100609497,172,0
11811184,31315111,3929176,378199431,346403909,61,0
11845377,31361697,4013781,378610947,123468234,1,0
12020517,31433559,3297437,383086481,381983893,44,0
6741155,9660758,3883067,233902544,233271014,42,0
16847667,45207586,3504325,507877701,507850847,20,0
17062418,12578372,4016363,512696031,512585268,66,0
39491813,96873452,3832348,1013292385,1012294785,236,0
12617182,32750679,4014451,396766428,396766426,61,0
8182183,16897033,3483589,276543116,269592230,149,0
34047158,14985743,3590388,898420794,897881854,202,0
13168602,33737559,3749320,409613166,393458048,37,0
23249641,61832163,3636276,665558325,664025824,10,0
37184528,93289276,3627807,962205474,130579116,9,0
5525971,13675038,4037421,186347619,120634097,11,0
5591014,14177978,3837476,196024643,195913093,130,0
5741092,14755970,3828799,202695294,201173532,79,0
5753835,14809895,4099912,203066132,169688174,5,0
5834116,14973352,3960885,183142552,134345812,3,0
25946957,45568483,3815757,724631087,719571082,432,0
15793085,41188522,3870968,477566834,477566827,102,0
15867804,41931104,3564791,481646825,481289404,61,0
